sample_id,image_path,target_text,prediction,target_length,prediction_length,image_width,image_height,feature_width,ctc_T,required_T,temporal_margin,blank_percentage,nonblank_timesteps,prediction_target_ratio,CER,WER,exact_match,bucket
0,images/tamil_test_003854.jpg,ஹோம்,ஹேர்,4,4,1655,258,51,51,4,47,92.15686321258545,4,1.0,0.5,1.0,0,1-5
1,images/tamil_test_001359.jpg,வாழ்க,வாழ்கின்,5,8,1636,253,51,51,5,46,84.3137264251709,8,1.6,0.6,1.0,0,1-5
2,images/tamil_test_000488.jpg,மேடை,பேடைப்்,4,7,2588,257,80,80,4,76,91.25000238418579,7,1.75,1.0,1.0,0,1-5
3,images/tamil_test_000531.jpg,மற்ற,மற்ற்,4,5,998,341,23,23,4,19,78.2608687877655,5,1.25,0.25,1.0,0,1-5
4,images/tamil_test_002309.jpg,பேரா,சப்ர்,4,5,1754,444,31,31,4,27,83.87096524238586,5,1.25,0.75,1.0,0,1-5
5,images/tamil_test_000979.jpg,ஆனவன்,ஆன்னா்,5,6,1429,409,27,27,5,22,77.77777910232544,6,1.2,0.4,1.0,0,1-5
6,images/tamil_test_002057.jpg,புரிய,புர்ய்,5,6,1418,294,38,38,5,33,84.21052694320679,6,1.2,0.4,1.0,0,1-5
7,images/tamil_test_003844.jpg,வரலை,வரவ்,4,4,1703,359,37,37,4,33,89.18918967247009,4,1.0,0.5,1.0,0,1-5
8,images/tamil_test_004682.jpg,டெக்,டெக்ி்,4,6,1536,297,41,41,4,37,85.36584973335266,6,1.5,0.5,1.0,0,1-5
9,images/tamil_test_001585.jpg,மற்ற,மற்ற,4,4,1000,374,21,21,4,17,80.95238208770752,4,1.0,0.0,0.0,1,1-5
10,images/tamil_test_000061.jpg,கதையை,தனத்,5,4,1554,342,36,36,5,31,88.88888955116272,4,0.8,0.8,1.0,0,1-5
11,images/tamil_test_003310.jpg,ஊறிய,ஊற்ற்,4,5,1771,245,57,57,4,53,91.22806787490845,5,1.25,0.75,1.0,0,1-5
12,images/tamil_test_001771.jpg,ஓர்,ஓல்,3,3,1315,302,34,34,3,31,91.17646813392639,3,1.0,0.3333333333333333,1.0,0,1-5
13,images/tamil_test_003440.jpg,சாயல்,சாயா்,5,5,1612,301,42,42,5,37,88.09524178504944,5,1.0,0.2,1.0,0,1-5
14,images/tamil_test_003566.jpg,வாமன,வாய்,4,4,1171,295,31,31,4,27,87.09677457809448,4,1.0,0.5,1.0,0,1-5
15,images/tamil_test_001610.jpg,பிரதி,மிரத்,5,5,1536,324,37,37,5,32,86.48648858070374,5,1.0,0.4,1.0,0,1-5
16,images/tamil_test_003872.jpg,ஆனவன்,ஆனா்,5,4,1416,303,37,37,5,32,89.18918967247009,4,0.8,0.4,1.0,0,1-5
17,images/tamil_test_001895.jpg,பூர்வ,பூர்வ்,5,6,984,295,26,26,5,21,76.92307829856873,6,1.2,0.2,1.0,0,1-5
18,images/tamil_test_002639.jpg,ஸ்தல,எஸ்ா்்,4,6,1647,269,48,48,4,44,87.5,6,1.5,1.0,1.0,0,1-5
19,images/tamil_test_001963.jpg,எக்ஸ்,எக்க்,5,5,1094,296,29,29,5,24,82.75861740112305,5,1.0,0.2,1.0,0,1-5
20,images/tamil_test_004430.jpg,உயிர்,உயிர்,5,5,2349,251,74,74,5,69,93.2432472705841,5,1.0,0.0,0.0,1,1-5
21,images/tamil_test_002142.jpg,வேலு,வேலுப்,4,6,1717,247,55,55,4,51,89.09090757369995,6,1.5,0.5,1.0,0,1-5
22,images/tamil_test_000123.jpg,வாழ்க,வாழ்கி்்,5,8,1628,244,53,53,5,48,84.9056601524353,8,1.6,0.6,1.0,0,1-5
23,images/tamil_test_002456.jpg,வாயே,வாய்,4,4,1267,311,32,32,4,28,87.5,4,1.0,0.25,1.0,0,1-5
24,images/tamil_test_000229.jpg,வறண்ட,வறட்,5,4,1705,249,54,54,5,49,92.59259104728699,4,0.8,0.4,1.0,0,1-5
25,images/tamil_test_000595.jpg,அசல்,அசாதர்,4,6,1950,257,60,60,4,56,90.00000357627869,6,1.5,0.75,1.0,0,1-5
26,images/tamil_test_001024.jpg,சோ,சோ,2,2,1601,300,42,42,2,40,95.23809552192688,2,1.0,0.0,0.0,1,1-5
27,images/tamil_test_002051.jpg,நாளை,நாளக்,4,5,2234,261,68,68,4,64,92.64705777168274,5,1.25,0.5,1.0,0,1-5
28,images/tamil_test_002913.jpg,எனத்,எனப்ோ்,4,6,1971,363,43,43,4,39,86.04651093482971,6,1.5,0.75,1.0,0,1-5
29,images/tamil_test_002963.jpg,இசை,இசைக்்,3,6,1541,274,44,44,3,41,86.36363744735718,6,2.0,1.0,1.0,0,1-5
30,images/tamil_test_002077.jpg,நரேஷ்,நரைய்,5,5,1689,298,45,45,5,40,88.88888955116272,5,1.0,0.4,1.0,0,1-5
31,images/tamil_test_000659.jpg,சேதி,சேத்்,4,5,798,304,21,21,4,17,76.1904776096344,5,1.25,0.5,1.0,0,1-5
32,images/tamil_test_002859.jpg,பதின,பதின்,4,5,1896,296,51,51,4,47,90.19607901573181,5,1.25,0.25,1.0,0,1-5
